StudentID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours
3,female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5
5,male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10
6,female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10
7,female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10
8,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10
9,male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10
12,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10
13,female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10
14,male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10
15,female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5
18,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10
19,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10
20,female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5
21,male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10
22,female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10
26,male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10
27,male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5
28,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10
29,male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10
30,female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10
36,female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10
43,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5
44,male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5
49,male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10
50,male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10
